丁酮
丁酸
丁香
七伤
七叶
七子
七情
三七
三仙
三棱
三焦
三高
三黄
上吐
上唇
上扰
上气
上火
上焦
上端
上肢
上背
上腹
上臂
上药
上行
上身
上颌
下体
下利
下唇
下坠
下垂
下巴
下气
下泻
下火
下焦
下痢
下肢
下背
下腹
下药
下血
下行
下颌
不举
不孕
不宁
不安
不寐
不振
不渴
不眠
不育
不良
不调
不适
不遂
不食
丘疹
丘陵
丙酮
东南
丝瓜
丝菌
两侧
两胁
两鬓
严重
中封
中府
中庭
中性
中暑
中期
中极
中毒
中气
中渚
中焦
中等
中耳
中背
中脉
中脘
中腹
中风
丸剂
丹参
丹栀
丹毒
丹皮
丹砂
主症
主筋
主药
久咳
久坐
久泻
久病
久痢
久立
久行
义心
乌发
乌叶
乌头
乌梅
乌眼
乌花
乌草
乌药
乌鸡
乏力
乐观
乙素
乙肝
九节
九香
乳岩
乳房
乳根
乳汁
乳液
乳疾
乳症
乳痈
乳痛
乳癖
乳腺
乳膏
乳衄
乳证
乳酸
乳香
乾姜
二至
二芍
云南
云芝
云门
互结
五加
五劳
五味
五子
五官
五常
五心
五神
五脏
五苓
五行
五谷
五软
五运
井穴
亚洲
产后
产妇
产痛
产程
产道
产钳
人中
人参
人參
人蔘
人身
仁丹
仁心
仙茅
仙菌
代脉
代茶
代谢
仰卧
任脉
伏热
伏阳
休克
休息
优质
会厌
会阴
伤口
伤寒
伤暑
伤肺
伤阴
伤风
伤食
伸展
低弱
低沉
低烧
低热
低糖
体倦
体内
体力
体型
体寒
体弱
体征
体微
体检
体液
体温
体热
体疼
体痛
体瘦
体臭
体虚
体质
余沥
余热
佛手
佛珠
作息
佩兰
侠白
侧卧
侧胸
便便
便干
便溏
便疼
便秘
便结
便血
便黄
保养
保存
保暖
保湿
保肝
保肾
俞穴
信意
信誉
倦怠
假寒
假的
假眩
假药
偏暗
偏热
偏瘫
偏红
偏辣
偏食
偏黄
停滞
停经
停药
停血
健康
健忘
健胃
健脑
健脾
健谈
傍晚
催眠
僵硬
僵蚕
儿科
儿童
儿茶
元参
元气
元神
元胡
充血
先煎
先蒿
光剥
光敏
光泽
光照
光疗
免疫
党参
入眠
全天
全腹
全草
全蝎
全身
八纲
八脉
八角
六味
六意
六气
六淫
六经
六腑
关元
关冲
关脉
关节
兴奋
养发
养心
养殖
养生
养神
养筋
养肝
养胃
养血
养阴
养颜
兼症
内伤
内关
内动
内向
内因
内寒
内服
内火
内热
内痔
内科
内经
内耳
内脏
内膝
内踝
内邪
内风
冒汗
冠脉
冥想
冬天
冬季
冬瓜
冬花
冬葵
冰冷
冰块
冰敷
冰水
冰片
冰箱
冰糖
冰袋
冲剂
冲动
冲泡
冲脉
冷哮
冷感
冷敷
冷汗
冷疮
冷症
冷痛
冷痹
冷瘴
冷饮
冻疮
净化
凉性
凉拌
凉膏
凉茶
凉血
凉风
减肥
减重
出汗
出疹
出血
刀豆
分娩
分类
切片
切证
切诊
列缺
刘英
刘鹏
创伤
初热
利咳
利咽
利尿
利水
利湿
利胆
刮宫
刮痧
制参
制姜
制术
刷牙
刺法
刺痛
剂量
前囟
前牙
前胡
前臂
前额
剧烈
剧痛
割伤
力度
功劳
加州
加工
加湿
加量
动物
动脉
动静
劳咳
劳损
劳淋
劳疟
劳累
劳逸
包块
包扎
包茎
包装
化湿
化燥
化疗
化痰
化瘀
化积
化脓
化验
北方
北杏
医师
医生
医药
医院
千层
升举
升药
升阳
升麻
半夏
华中
华佗
华北
华南
协调
卒中
单宁
南方
南星
南杏
南瓜
卫气
卫生
印堂
印度
卵巢
卵泡
卷柏
历史
厉兑
压力
压抑
压痛
压胸
厌食
厚朴
厚腻
厚苔
厥脱
厥阴
去湿
参汤
反流
反胃
反酸
发丝
发冷
发呆
发寒
发怒
发抖
发散
发晕
发根
发汗
发炎
发烧
发热
发狂
发疹
发痒
发紫
发红
发绀
发育
发胀
发闷
发霉
发麻
发黄
受伤
受凉
受寒
受潮
变厚
变干
变形
变硬
变粗
变质
口吃
口吸
口唇
口噤
口干
口服
口气
口淡
口渴
口炎
口热
口燥
口甜
口疮
口病
口痛
口痹
口糊
口糜
口红
口腔
口腥
口腻
口臭
口苦
口诊
口酸
口黏
口鼻
可乐
可可
右侧
右眼
右耳
右胁
右臂
叶子
叶梨
叶酸
合穴
合谷
后囟
后牙
后脑
吐奶
吐泻
吐纳
吐血
吐逆
吗啡
吞酸
含片
含铁
听会
听力
听宫
听觉
听诊
吴琼
吴蓉
吸入
吸收
吸毒
吸气
吸氧
吸烟
吸附
呃逆
呆滞
呕吐
呕恶
呕血
呕逆
呕酸
呛咳
味淡
味甘
味苦
味蕾
味觉
味道
呵欠
呼吸
命门
和中
和胃
和血
咖啡
咬伤
咯痰
咯血
咳呕
咳喘
咳嗽
咳火
咳痰
咳血
咸味
咽喉
咽干
咽炎
咽燥
咽痒
咽痛
咽痹
咽肿
咽部
品质
响亮
哭泣
哭闹
哮喘
哮证
哮鸣
唇干
唇紫
唇肿
唇色
唇裂
唇部
唐代
唐朝
唾多
商朝
商阳
商陆
啼哭
善怒
善恐
善悲
善惊
喉咙
喉咳
喉喷
喉干
喉府
喉核
喉炎
喉热
喉燥
喉痒
喉痛
喉痹
喉癌
喉糖
喉结
喉腔
喉部
喘咳
喘息
喘憋
喘证
喘鸣
喜暖
喜欠
喜温
喜饮
喝水
喝酒
喷嚏
嗅觉
嗓子
嗓瘪
嗜睡
嗝气
嗳气
嘈杂
嘴唇
嘴干
嘶哑
噎膈
噎食
噩梦
噪音
噫气
囊肿
四季
四川
四性
四气
四物
四肢
四诊
四逆
回阳
困倦
困重
固涩
固肠
固肾
固脱
固表
固骨
土系
土豆
在外
地丁
地丑
地丹
地榆
地钱
地黄
地龙
坏疽
坐姿
坐直
块状
坚果
坚癥
坚硬
坠痔
坠胀
坠脱
垂体
埋针
堵塞
壮热
壮阳
声低
声嘶
声带
声音
处方
复发
复叶
复方
复视
夏天
夏季
外伤
外关
外因
外感
外敷
外热
外用
外痔
外邪
外阴
多吃
多唾
多喝
多尿
多梦
多汗
多痰
多糖
多酚
多饮
夜光
夜咳
夜尿
夜汗
夜盲
夜间
大便
大包
大小
大敦
大料
大枣
大椎
大樟
大汗
大热
大米
大肠
大脑
大腿
大葱
大蒜
大蓟
大豆
大都
大钟
大麻
大黄
大鼠
天冬
天地
天年
天府
天枢
天柱
天突
天葵
天雄
天麻
太乙
太冲
太息
太极
太淵
太渊
太溪
太白
太阳
太阴
失忆
失志
失控
失明
失水
失眠
失神
失禁
失聪
失血
失衡
失语
失调
失音
头侧
头冷
头发
头孢
头摇
头昏
头晕
头汗
头沉
头热
头疼
头疽
头痛
头皮
头空
头胀
头部
头重
头针
头面
头顶
头颤
头风
奇穴
奎宁
女性
女药
好意
如粥
妄想
妇科
妊娠
委中
委阳
姜枣
姜汁
姜汤
姜炭
姜片
姜米
姜糖
姜苓
姜茯
姜茶
姜酚
姜黄
姿势
婴儿
子嗽
子宫
子满
孕吐
孕妇
孕期
孕酮
季节
孤独
宁夏
安全
安抚
安眠
安石
安神
安胎
安静
宋朝
官员
定喘
定志
定惊
定痉
实咳
实喘
实寒
实弦
实性
实汗
实淋
实渴
实火
实热
实疮
实痛
实痞
实瘤
实聋
实胀
实证
宣肝
宣肺
宣通
室温
宫冷
宫口
宫寒
宫瘀
宫瘤
宫缩
宫腔
宫颈
害怕
宿翳
寒丸
寒冷
寒凉
寒凝
寒厥
寒咳
寒喘
寒度
寒性
寒意
寒战
寒气
寒汗
寒泻
寒淋
寒温
寒湿
寒滞
寒热
寒燥
寒疝
寒疟
寒疮
寒疼
寒疾
寒病
寒症
寒痛
寒痰
寒痹
寒瘰
寒瘴
寒胀
寒证
寒象
寒邪
寒重
寒风
寒饮
射干
射精
小便
小儿
小叶
小孩
小檗
小疱
小米
小肠
小脑
小腿
小蓟
小鼠
少商
少寐
少尿
少气
少汗
少津
少海
少痰
少经
少苔
少阳
少阴
少食
尖细
尖锐
尘土
尘埃
就医
尺泽
尺脉
尺骨
尿多
尿少
尿床
尿急
尿检
尿浊
尿液
尿滞
尿滴
尿热
尿痛
尿短
尿臭
尿血
尿赤
尿路
尿道
尿闭
尿闷
尿频
尿黄
局部
居处
山丹
山区
山参
山坡
山柰
山柿
山栀
山楂
山药
山萸
山西
岁露
崩中
崩漏
川乌
川弓
川断
川烟
川穹
川羌
川芎
川贝
川连
川附
左侧
左右
左归
左耳
左肩
左臂
巨骨
巩膜
巴戟
巴豆
带下
带痒
带脉
带臭
带血
常山
干呕
干咳
